name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson16 Feb 2024Plans to build a 100,000-square-foot gigafactory on Vancouver Island in the works - A#gigafactoryis set to be built on Vancouver Island, as a result of a partnership between Malahat First Nation and@EnergyPlugCorp#Indigenomicskelownanow.com/watercooler/n…1",Don Richardson@Don_Richardson16 Feb 2024,"Plans to build a 100,000-square-foot gigafactory on Vancouver Island in the works - A#gigafactoryis set to be built on Vancouver Island, as a result of a partnership between Malahat First Nation and@EnergyPlugCorp#Indigenomicskelownanow.com/watercooler/n…",16 Feb 2024,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson15 Feb 2024First#IndigenousEquityInitiative of Canadian Infrastructure Bank: to make an $18 million loan to Wskijinu'k Mtmo'taqnuow Agency, an economic limited partnership of 13#Mikmawcommunities in Nova Scotia for a large#energystorageproject#Indigenomicsminogi.ca/insights/f/first-i…11",Don Richardson@Don_Richardson15 Feb 2024,"First#IndigenousEquityInitiative of Canadian Infrastructure Bank: to make an $18 million loan to Wskijinu'k Mtmo'taqnuow Agency, an economic limited partnership of 13#Mikmawcommunities in Nova Scotia for a large#energystorageproject#Indigenomicsminogi.ca/insights/f/first-i…",15 Feb 2024,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht13 Feb 20241 day until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview1","Carol Anne Hilton, MBA@Hesquiaht13 Feb 2024","1 day until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview",13 Feb 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht12 Feb 2024Celebrate Indigenous LOVE in all its forms – family, community, land, teachings, and ceremonies. 🌱✨

🗓️ Date: February 14, 2024
🕛 Time: 12pm - 2pm PST
🌐 Location: Live-streamed via Zoom and Facebook Live

Registration is FREE!lnkd.in/g6_CbtxJ#Indigenomics21","Carol Anne Hilton, MBA@Hesquiaht12 Feb 2024","Celebrate Indigenous LOVE in all its forms – family, community, land, teachings, and ceremonies. 🌱✨

🗓️ Date: February 14, 2024
🕛 Time: 12pm - 2pm PST
🌐 Location: Live-streamed via Zoom and Facebook Live

Registration is FREE!lnkd.in/g6_CbtxJ#Indigenomics",12 Feb 2024,21,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht12 Feb 20242 days until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview1","Carol Anne Hilton, MBA@Hesquiaht12 Feb 2024","2 days until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview",12 Feb 2024,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson12 Feb 2024Ocean Man First Nation partners to build largest solar facility in Saskatchewan - $200 million, 100 megawatt (MW) solar facility - Once operational, the facility will cover approximately 540 acres, consisting of 200,000#solarballsmodules#Indigenomicsregina.ctvnews.ca/ocean-man-…",Don Richardson@Don_Richardson12 Feb 2024,"Ocean Man First Nation partners to build largest solar facility in Saskatchewan - $200 million, 100 megawatt (MW) solar facility - Once operational, the facility will cover approximately 540 acres, consisting of 200,000#solarballsmodules#Indigenomicsregina.ctvnews.ca/ocean-man-…",12 Feb 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht11 Feb 20243 days until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview1","Carol Anne Hilton, MBA@Hesquiaht11 Feb 2024","3 days until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview",11 Feb 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht11 Feb 20244 days until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview4","Carol Anne Hilton, MBA@Hesquiaht11 Feb 2024","4 days until the Global Centre of Indigenomics makes an exciting announcement!
 
Launch Date: February 14th, 2024.
Stay tuned for more details!
 
Subscribe to the newsletter to stay informed!lnkd.in/gnwYRk5U#IndigenomicsNOW#Indigenomics#Indigenousworldview",11 Feb 2024,4,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson10 Feb 2024Ocean Man First Nation partners to build largest solar facility in Saskatchewan#Indigenomicsregina.ctvnews.ca/ocean-man-…1,Don Richardson@Don_Richardson10 Feb 2024,Ocean Man First Nation partners to build largest solar facility in Saskatchewan#Indigenomicsregina.ctvnews.ca/ocean-man-…,10 Feb 2024,1,,
