name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson28 Jul 2024This clean power project could green Ontario’s electricity and change how First Nations do deals — if it can ever get built

Obtaining Indigenous consent is supposed to be a prerequisite for major energy or resource projects.#Indigenomicsthestar.com/business/this-cl…1",Don Richardson@Don_Richardson28 Jul 2024,"This clean power project could green Ontario’s electricity and change how First Nations do deals — if it can ever get built

Obtaining Indigenous consent is supposed to be a prerequisite for major energy or resource projects.#Indigenomicsthestar.com/business/this-cl…",28 Jul 2024,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson27 Jul 2024With Indigenous ownership in place, Halifax-based Clearwater Seafoods will keep the company monopoly on the Canadian arctic surf clam fishery, a business with annual sales topping $100 million.#Indigenomicsca.news.yahoo.com/clearwater…",Don Richardson@Don_Richardson27 Jul 2024,"With Indigenous ownership in place, Halifax-based Clearwater Seafoods will keep the company monopoly on the Canadian arctic surf clam fishery, a business with annual sales topping $100 million.#Indigenomicsca.news.yahoo.com/clearwater…",27 Jul 2024,,,
Daniel Holton,@Dcholton,,"Daniel Holton@Dcholton23 Jul 2024Great insights into perspectives of tech-oriented Indigenous businesses on opportunities for#EconomicDevelopment&#Reconciliation.

Great quote: “I love traditional hunting, but I also enjoy UberEats…What’s the future [of] coexistence looking like?”#Indigenomics#ProsperityCanadian Council for Indigenous Business@ccib_national23 Jul 2024Last month, Angela Mark, CCIB’s director of research, and other participants gathered at the Globe and Mail offices for the 'At the Table' roundtable to discuss how Indigenous businesses are using technology for connectivity and growth.

Read the article:rb.gy/ocbd2n3",Daniel Holton@Dcholton23 Jul 2024,"Great insights into perspectives of tech-oriented Indigenous businesses on opportunities for#EconomicDevelopment&#Reconciliation.

Great quote: “I love traditional hunting, but I also enjoy UberEats…What’s the future [of] coexistence looking like?”#Indigenomics#Prosperity",23 Jul 2024,3,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson10 Jul 2024Buffalo River Developments LP acquires majority interest in Threeosix Industrial Services Inc. - Acquisition makes Threeosix one of the largest Indigenous industrial contractors in Western Canada#Indigenomicsnewswire.ca/news-releases/bu…,Don Richardson@Don_Richardson10 Jul 2024,Buffalo River Developments LP acquires majority interest in Threeosix Industrial Services Inc. - Acquisition makes Threeosix one of the largest Indigenous industrial contractors in Western Canada#Indigenomicsnewswire.ca/news-releases/bu…,10 Jul 2024,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson4 Jul 2024Hydro-Québec announces mega wind farm in partnership with Indigenous communities, regional government - said zone has potential to host up to 3,000 MW of wind power which would make it one of the biggest wind power sites in North America#Indigenomicstheglobeandmail.com/business…",Don Richardson@Don_Richardson4 Jul 2024,"Hydro-Québec announces mega wind farm in partnership with Indigenous communities, regional government - said zone has potential to host up to 3,000 MW of wind power which would make it one of the biggest wind power sites in North America#Indigenomicstheglobeandmail.com/business…",4 Jul 2024,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson28 Jun 2024How to keep First Nation business profits with the rights-holders? First Nation ownership = business operations proceeds directly benefit First Nation member-owners.#VoyageurServicesspotlighted here by@opgas a key player in North America’s first commercial SMR.#IndigenomicsOntario Power Gen@opg28 Jun 2024Our partner, Voyageur Services, continues to be a cornerstone of support as we advance North America's first SMR fleet at Darlington. Learn how this innovative company is forging a distinct trail for First Nation participation in the energy sector.bit.ly/4bqyMuf",Don Richardson@Don_Richardson28 Jun 2024,How to keep First Nation business profits with the rights-holders? First Nation ownership = business operations proceeds directly benefit First Nation member-owners.#VoyageurServicesspotlighted here by@opgas a key player in North America’s first commercial SMR.#Indigenomics,28 Jun 2024,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson27 Jun 2024An unprecedented alliance of more than 50 First Nations and municipalities is forming in Saskatchewan to maximize the benefits and address potential challenges linked to BHP's $14-billion Jansen potash mine projectwww-cbc-ca.cdn.ampproject.or…#Indigenomics1,Don Richardson@Don_Richardson27 Jun 2024,An unprecedented alliance of more than 50 First Nations and municipalities is forming in Saskatchewan to maximize the benefits and address potential challenges linked to BHP's $14-billion Jansen potash mine projectwww-cbc-ca.cdn.ampproject.or…#Indigenomics,27 Jun 2024,1,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson23 Jun 2024Five Nations Energy Inc. releases new book on how it came to be the first Indigenous-owned transmission company in Canada#Indigenomicsnorthernontario.ctvnews.ca/n…1,Don Richardson@Don_Richardson23 Jun 2024,Five Nations Energy Inc. releases new book on how it came to be the first Indigenous-owned transmission company in Canada#Indigenomicsnorthernontario.ctvnews.ca/n…,23 Jun 2024,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht23 Jun 2024#throwback#indigenomicsCarol Anne Hilton, MBA@Hesquiaht28 Nov 2023TMX Group in collaboration with the Indigenomics Institute embarked on a journey towards economic reconciliation, focusing on the crucial role of corporate Canada in propelling the Indigenous economy beyond the remarkable $100 billion milestone.#Indigenomics#IndigenousLeaders215","Carol Anne Hilton, MBA@Hesquiaht23 Jun 2024",#throwback#indigenomics,23 Jun 2024,215,,
