name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson5 Feb 2024Ignoring Indigenous Rights Is Making the Green Transition More Expensive - “If you’re going to develop energy in the U.S. you’ve got to do it with the support of tribal communities.""#Indigenomicsgoodmenproject.com/featured-…",Don Richardson@Don_Richardson5 Feb 2024,"Ignoring Indigenous Rights Is Making the Green Transition More Expensive - “If you’re going to develop energy in the U.S. you’ve got to do it with the support of tribal communities.""#Indigenomicsgoodmenproject.com/featured-…",5 Feb 2024,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson2 Feb 2024#Indigenomics- Nations Royalty is set to become Canada's largest majority Indigenous-owned public company, a significant player in the mining royalty sector - planning a transformative moment in Canada's mining landscapenewswire.ca/news-releases/na…33",Don Richardson@Don_Richardson2 Feb 2024,"#Indigenomics- Nations Royalty is set to become Canada's largest majority Indigenous-owned public company, a significant player in the mining royalty sector - planning a transformative moment in Canada's mining landscapenewswire.ca/news-releases/na…",2 Feb 2024,33,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson1 Feb 2024Thunder Bay Launches Groundbreaking Indigenous Economic Impact Study#Indigenomicsnetnewsledger.com/2024/01/31…1,Don Richardson@Don_Richardson1 Feb 2024,Thunder Bay Launches Groundbreaking Indigenous Economic Impact Study#Indigenomicsnetnewsledger.com/2024/01/31…,1 Feb 2024,1,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson1 Feb 2024@DeloitteCanadasets sights on Nation Building - Says new Indigenous-led First Nations advisory practice ‘seeks real change in this country’#Indigenomicswinnipegfreepress.com/busine…,Don Richardson@Don_Richardson1 Feb 2024,@DeloitteCanadasets sights on Nation Building - Says new Indigenous-led First Nations advisory practice ‘seeks real change in this country’#Indigenomicswinnipegfreepress.com/busine…,1 Feb 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht31 Jan 2024Embark on an informative exploration with us as we delve into these case studies, offering robust insights into the Indigenous Economy.

Subscribe to our newsletter for exclusive updates: 
Indigenomics Institute:tr.ee/SVKdZdWv8A#Indigenomics#Indigenousworldview1","Carol Anne Hilton, MBA@Hesquiaht31 Jan 2024","Embark on an informative exploration with us as we delve into these case studies, offering robust insights into the Indigenous Economy.

Subscribe to our newsletter for exclusive updates: 
Indigenomics Institute:tr.ee/SVKdZdWv8A#Indigenomics#Indigenousworldview",31 Jan 2024,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson31 Jan 2024Ontario Announces Forest Biomass Program Funding Recipients - include Cat Lake FN,  Whitesand FN, Bingwi Neyaashi Anishinaabek, Lac Seoul FN and Lake Nipigon Forest Management (four FN co-op)#Indigenomicsnews.ontario.ca/en/backgroun…",Don Richardson@Don_Richardson31 Jan 2024,"Ontario Announces Forest Biomass Program Funding Recipients - include Cat Lake FN,  Whitesand FN, Bingwi Neyaashi Anishinaabek, Lac Seoul FN and Lake Nipigon Forest Management (four FN co-op)#Indigenomicsnews.ontario.ca/en/backgroun…",31 Jan 2024,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson25 Jan 2024Planning for Georgian Bay Pumped Energy project moves to next step - TC Energy announces plans to continue to advance planning for Ontario Pumped Storage Project (OPSP) in Meaford along with its prospective partner Saugeen Ojibway Nationcknxnewstoday.ca/midwestern/…#Indigenomics1,Don Richardson@Don_Richardson25 Jan 2024,Planning for Georgian Bay Pumped Energy project moves to next step - TC Energy announces plans to continue to advance planning for Ontario Pumped Storage Project (OPSP) in Meaford along with its prospective partner Saugeen Ojibway Nationcknxnewstoday.ca/midwestern/…#Indigenomics,25 Jan 2024,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson25 Jan 2024Indigenous-owned Jericho Lands project for 24,000 residents approved by Vancouver City Council - 
real estate development company wholly owned by the Musqueam, Squamish, and Tsleil-Waututh First Nations#Indigenomicsdailyhive.com/vancouver/jeri…",Don Richardson@Don_Richardson25 Jan 2024,"Indigenous-owned Jericho Lands project for 24,000 residents approved by Vancouver City Council - 
real estate development company wholly owned by the Musqueam, Squamish, and Tsleil-Waututh First Nations#Indigenomicsdailyhive.com/vancouver/jeri…",25 Jan 2024,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht25 Jan 2024#indigenomicsin action#indigenouseconomy#canecon#cdnpoliThis tweet is unavailable13","Carol Anne Hilton, MBA@Hesquiaht25 Jan 2024",#indigenomicsin action#indigenouseconomy#canecon#cdnpoli,25 Jan 2024,13,,
