name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
SAY Magazine,@SAYMagazine,,"SAY Magazine@SAYMagazine30 Apr 2022The#IndigenomicsInstitute invites Indigenous leaders, Indigenous businesses, educational institutions, policy makers and corporations to the Activating the Financial Architecture of the 100 Billion Dollar National Annual Indigenous Economy May 19-20.indigenomicsinstitute.com",SAY Magazine@SAYMagazine30 Apr 2022,"The#IndigenomicsInstitute invites Indigenous leaders, Indigenous businesses, educational institutions, policy makers and corporations to the Activating the Financial Architecture of the 100 Billion Dollar National Annual Indigenous Economy May 19-20.indigenomicsinstitute.com",30 Apr 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht29 Apr 20227 days left to register for the Indigenomics Design conference#bcpoli#canecon#indigenomics#100billionindigenomicsinstitute.com4","Carol Anne Hilton, MBA@Hesquiaht29 Apr 2022",7 days left to register for the Indigenomics Design conference#bcpoli#canecon#indigenomics#100billionindigenomicsinstitute.com,29 Apr 2022,4,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson29 Apr 2022Building beneficial partnerships - Indigenous engagement in the construction industry has seen significant growth in recent yearsreminetwork.com/articles/bui…#Indigenomics27,Don Richardson@Don_Richardson29 Apr 2022,Building beneficial partnerships - Indigenous engagement in the construction industry has seen significant growth in recent yearsreminetwork.com/articles/bui…#Indigenomics,29 Apr 2022,27,,
Rashid Sumaila,@DrRashidSumaila,,"Rashid Sumaila@DrRashidSumaila28 Apr 2022With@CarolAnneHiltonat the just concluded#ABAC-#APECMeeting in#Vancouver. Carol generously gave me a copy of her recent book,#Indigenomics, and I also gave her a copy of mine,#InfinityFish! Good to meet you and learn about your fascinating book, Carol!!417",Rashid Sumaila@DrRashidSumaila28 Apr 2022,"With@CarolAnneHiltonat the just concluded#ABAC-#APECMeeting in#Vancouver. Carol generously gave me a copy of her recent book,#Indigenomics, and I also gave her a copy of mine,#InfinityFish! Good to meet you and learn about your fascinating book, Carol!!",28 Apr 2022,417,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht28 Apr 2022Fort Nelson First Nation partnership looks to explore $1.2B Hydrogen facility -Energeticcity.caenergeticcity.ca/2022/04/26/…#indigenomics#100billion#indigenouseconomy#canecon#cdnbiz#bcecon2","Carol Anne Hilton, MBA@Hesquiaht28 Apr 2022",Fort Nelson First Nation partnership looks to explore $1.2B Hydrogen facility -Energeticcity.caenergeticcity.ca/2022/04/26/…#indigenomics#100billion#indigenouseconomy#canecon#cdnbiz#bcecon,28 Apr 2022,2,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson28 Apr 2022Indigenous Company To Conduct Review For Proposed Pumped Storage Project -@TCEnergychoses Makwa-Cahill LP for constructability and fabrication review of inlet/outlet structure of TC Energy’s proposed pump storage project at Meaford, Ontbayshorebroadcasting.ca/2022…#Indigenomics2",Don Richardson@Don_Richardson28 Apr 2022,"Indigenous Company To Conduct Review For Proposed Pumped Storage Project -@TCEnergychoses Makwa-Cahill LP for constructability and fabrication review of inlet/outlet structure of TC Energy’s proposed pump storage project at Meaford, Ontbayshorebroadcasting.ca/2022…#Indigenomics",28 Apr 2022,2,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson28 Apr 2022First Nations Cable/Six Nations Internet one step closer to installing fibre optic Internet throughout territorytworowtimes.com/news/local/f…#Indigenomics,Don Richardson@Don_Richardson28 Apr 2022,First Nations Cable/Six Nations Internet one step closer to installing fibre optic Internet throughout territorytworowtimes.com/news/local/f…#Indigenomics,28 Apr 2022,,,
Coast Funds,@coastfunds,,"Coast Funds@coastfunds28 Apr 2022Within a few short years, the k̓awat̕si Economic Development Corporation has become an economic force on#NorthernVancouverIsland, operating 7️⃣  distinct businesses and employing, during its peak season, over 130 employees.ow.ly/6xrI30lk6tL#Indigenomics#FirstNations",Coast Funds@coastfunds28 Apr 2022,"Within a few short years, the k̓awat̕si Economic Development Corporation has become an economic force on#NorthernVancouverIsland, operating 7️⃣  distinct businesses and employing, during its peak season, over 130 employees.ow.ly/6xrI30lk6tL#Indigenomics#FirstNations",28 Apr 2022,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson27 Apr 2022Want to invest in companies formally committed to continually improving performance in Indigenous relations? There's a#TSXindex list for that via@TMXGroupand @ccab_national !#Indigenomicsmoney.tmx.com/en/stock-list/…13,Don Richardson@Don_Richardson27 Apr 2022,Want to invest in companies formally committed to continually improving performance in Indigenous relations? There's a#TSXindex list for that via@TMXGroupand @ccab_national !#Indigenomicsmoney.tmx.com/en/stock-list/…,27 Apr 2022,13,,
