name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht4 Mar 2022The rise of the modern Indigenous economy requires your participation and leadership.  Who wants to play#Indigenomics? Registration is atindigenomics.events#invest#design#impact#indigenomics#indigenouseconomy#indigenousprosperity#canecon#bcecon34","Carol Anne Hilton, MBA@Hesquiaht4 Mar 2022",The rise of the modern Indigenous economy requires your participation and leadership.  Who wants to play#Indigenomics? Registration is atindigenomics.events#invest#design#impact#indigenomics#indigenouseconomy#indigenousprosperity#canecon#bcecon,4 Mar 2022,34,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson4 Mar 2022Coastal GasLink announced that Nadleh Whut’en and Macro Pipelines are the newest prime contractor for pipeline construction near Fraser Lake - 2nd major Indigenous joint venture prime contractor for pipeline construction#Indigenomicsenergeticcity.ca/2022/03/03/…1,Don Richardson@Don_Richardson4 Mar 2022,Coastal GasLink announced that Nadleh Whut’en and Macro Pipelines are the newest prime contractor for pipeline construction near Fraser Lake - 2nd major Indigenous joint venture prime contractor for pipeline construction#Indigenomicsenergeticcity.ca/2022/03/03/…,4 Mar 2022,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson4 Mar 2022Indigenous communities gaining economic opportunities from mineral exploration -@the_PDAChas released a new report – Economic Impacts of Exploration Projects on Indigenous Communities.
 /via@globeandmail.#Indigenomicstheglobeandmail.com/business…163",Don Richardson@Don_Richardson4 Mar 2022,"Indigenous communities gaining economic opportunities from mineral exploration -@the_PDAChas released a new report – Economic Impacts of Exploration Projects on Indigenous Communities.
 /via@globeandmail.#Indigenomicstheglobeandmail.com/business…",4 Mar 2022,163,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson4 Mar 2022Siksika business supports Ukraine with a centuries-old connection - Kokum scarves displayed at the The Boy Chief Trading Post on#SiksikaNationcbc.ca/news/canada/calgary/s…#Indigenomics#SupportUkraine,Don Richardson@Don_Richardson4 Mar 2022,Siksika business supports Ukraine with a centuries-old connection - Kokum scarves displayed at the The Boy Chief Trading Post on#SiksikaNationcbc.ca/news/canada/calgary/s…#Indigenomics#SupportUkraine,4 Mar 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 Mar 2022It's World Book Day!#indigenomics- Taking A Seat At The Economic Table book sale!#worldbookday23","Carol Anne Hilton, MBA@Hesquiaht3 Mar 2022",It's World Book Day!#indigenomics- Taking A Seat At The Economic Table book sale!#worldbookday,3 Mar 2022,23,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 Mar 2022Stay tuned! Registration link coming out shortly#indigenomics#indigenouseconomy#ESG#design#impact#indigenousDM to be added to mailing list16","Carol Anne Hilton, MBA@Hesquiaht3 Mar 2022",Stay tuned! Registration link coming out shortly#indigenomics#indigenouseconomy#ESG#design#impact#indigenousDM to be added to mailing list,3 Mar 2022,16,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht3 Mar 2022Resources don’t reach markets without Indigenous participation.#indigenomics#indigenouseconomy#Canada@MarcMillerVM@PattyHajdu#caneconDon Richardson@Don_Richardson3 Mar 2022Mining watchdog wants a reboot of Ottawa's Ring of Fire assessment process - MiningWatch sides with James Bay Indigenous leaders in lobbying for equal party statusnorthernontariobusiness.com/…via@NorthOntarioBiz11","Carol Anne Hilton, MBA@Hesquiaht3 Mar 2022",Resources don’t reach markets without Indigenous participation.#indigenomics#indigenouseconomy#Canada@MarcMillerVM@PattyHajdu#canecon,3 Mar 2022,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht2 Mar 2022Registration reminder for the Indigenomics Design Conference and hotel rate informationindigenomicstinstitute.com#indigenomics#indigenouseconomy#100billion#YVR#bcecon#canecon24","Carol Anne Hilton, MBA@Hesquiaht2 Mar 2022",Registration reminder for the Indigenomics Design Conference and hotel rate informationindigenomicstinstitute.com#indigenomics#indigenouseconomy#100billion#YVR#bcecon#canecon,2 Mar 2022,24,,
Social Value Canada #SocialValue #SocialImpact,@SocialValueCDA,,Social Value Canada #SocialValue #SocialImpact@SocialValueCDA2 Mar 2022SocialValueInt: RT@Hesquiaht: The Global Centre of Indigenomics will be hosting a panel discussion 'Indigenous Lens to ESG' at the Going Beyond#ESGSummit in partnership with  Social Value International@SocialValueInt@SocialValueCDA#indigenomics#in…2,Social Value Canada #SocialValue #SocialImpact@SocialValueCDA2 Mar 2022,SocialValueInt: RT@Hesquiaht: The Global Centre of Indigenomics will be hosting a panel discussion 'Indigenous Lens to ESG' at the Going Beyond#ESGSummit in partnership with  Social Value International@SocialValueInt@SocialValueCDA#indigenomics#in…,2 Mar 2022,2,,
