name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Earnscliffe Strategies,@EarnscliffeCda,,"Earnscliffe Strategies@EarnscliffeCda19 May 2022The#Indigenomicsdialogue is vital. Our reports show, among Indigenous participants, jobs/unemployment & the economy have been increasingly mentioned as the top issues facing Canada w/ priorities including the est. of Indigenous-owned natural resource ventures & job creation1218",Earnscliffe Strategies@EarnscliffeCda19 May 2022,"The#Indigenomicsdialogue is vital. Our reports show, among Indigenous participants, jobs/unemployment & the economy have been increasingly mentioned as the top issues facing Canada w/ priorities including the est. of Indigenous-owned natural resource ventures & job creation",19 May 2022,1218,,
Earnscliffe Strategies,@EarnscliffeCda,,"Earnscliffe Strategies@EarnscliffeCda19 May 2022Earnscliffe is a proud sponsor of the 2022#Indigenomicsby Design conference, supporting the empowerment and development of the emerging $100 billion Indigenous economy. We’re looking forward to learning from leaders in this space over the next two days1218",Earnscliffe Strategies@EarnscliffeCda19 May 2022,"Earnscliffe is a proud sponsor of the 2022#Indigenomicsby Design conference, supporting the empowerment and development of the emerging $100 billion Indigenous economy. We’re looking forward to learning from leaders in this space over the next two days",19 May 2022,1218,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht19 May 2022‘We took the strategy of bringing a solution to the table’@RomeoSaganash- The Economic Implications Of Implementation of UNDRIP#indigenomics17","Carol Anne Hilton, MBA@Hesquiaht19 May 2022",‘We took the strategy of bringing a solution to the table’@RomeoSaganash- The Economic Implications Of Implementation of UNDRIP#indigenomics,19 May 2022,17,,
Diana Palmerín (she/her),@PalmerinDiana,,Diana Palmerín (she/her)@PalmerinDiana19 May 2022Day 1 of#Indigenomicsby Design. Thrilled to listen to@Hesquiahttalk about the power of activating the financial architecture of the $100 billion dollar Indigenous economy.29,Diana Palmerín (she/her)@PalmerinDiana19 May 2022,Day 1 of#Indigenomicsby Design. Thrilled to listen to@Hesquiahttalk about the power of activating the financial architecture of the $100 billion dollar Indigenous economy.,19 May 2022,29,,
Buffalo (yutl'ólem/they/iel),@SupaNativ,,Buffalo (yutl'ólem/they/iel)@SupaNativ19 May 2022#Indigenomics#Indigenomics101#supanativsagathe amazing voice and drumming of Deanna LouisEnable hls playback12100,Buffalo (yutl'ólem/they/iel)@SupaNativ19 May 2022,#Indigenomics#Indigenomics101#supanativsagathe amazing voice and drumming of Deanna Louis,19 May 2022,12100,,
Georgia May,@HeiltsukArtisan,,Georgia May@HeiltsukArtisan19 May 2022@Hesquiaht#Indigenomics#YVR2,Georgia May@HeiltsukArtisan19 May 2022,@Hesquiaht#Indigenomics#YVR,19 May 2022,2,,
newsocietypub,@NewSocietyPub,,newsocietypub@NewSocietyPub19 May 2022Indigenomics by Design 2022 is about to begin! Carol Anne Hilton to open the conference.@Hesquiaht#indigenomics3GIF,newsocietypub@NewSocietyPub19 May 2022,Indigenomics by Design 2022 is about to begin! Carol Anne Hilton to open the conference.@Hesquiaht#indigenomics,19 May 2022,3GIF,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht19 May 2022Coming soon! The Indigenomics Store- proceeds going to scholarships for Indigenous students in business, finance and commerce programs#indigenomics10","Carol Anne Hilton, MBA@Hesquiaht19 May 2022","Coming soon! The Indigenomics Store- proceeds going to scholarships for Indigenous students in business, finance and commerce programs#indigenomics",19 May 2022,10,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson19 May 2022Acronym Solutions Inc. announces innovative partnership with First Nations Cable, Net-Neutral Inc. and AANAKWAD Inc. to enable broadband connectivity to Six Nations of the Grand River - first Indigenous-lead project of its kind#Indigenomicsnewswire.ca/news-releases/ac…",Don Richardson@Don_Richardson19 May 2022,"Acronym Solutions Inc. announces innovative partnership with First Nations Cable, Net-Neutral Inc. and AANAKWAD Inc. to enable broadband connectivity to Six Nations of the Grand River - first Indigenous-lead project of its kind#Indigenomicsnewswire.ca/news-releases/ac…",19 May 2022,,,
