name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson7 Dec 2022Dillon Consulting, a national engineering and environmental consulting firm, has entered a joint venture agreement with Three Fires Group (TFG), a First Nations-owned economic development corporationconsulting.ca/news/3249/dill…#Indigenomics1",Don Richardson@Don_Richardson7 Dec 2022,"Dillon Consulting, a national engineering and environmental consulting firm, has entered a joint venture agreement with Three Fires Group (TFG), a First Nations-owned economic development corporationconsulting.ca/news/3249/dill…#Indigenomics",7 Dec 2022,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson7 Dec 2022First Nation and Ring of Fire miner set the stage for Eagle's Nest partnership - ""We are exercising our sovereignty,"" says Webequie Chief in signing MOU exploration pact with nickel minenorthernontariobusiness.com/…via@NorthOntarioBiz#Indigenomics36",Don Richardson@Don_Richardson7 Dec 2022,"First Nation and Ring of Fire miner set the stage for Eagle's Nest partnership - ""We are exercising our sovereignty,"" says Webequie Chief in signing MOU exploration pact with nickel minenorthernontariobusiness.com/…via@NorthOntarioBiz#Indigenomics",7 Dec 2022,36,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson6 Dec 2022Three Fires Group and Dillon Consulting Limited Announce Joint Venture Arrangement - partnership will advance economic development while delivering projects that positively impact the lives of Indigenous peoplefinance.yahoo.com/news/three…#Indigenomics1,Don Richardson@Don_Richardson6 Dec 2022,Three Fires Group and Dillon Consulting Limited Announce Joint Venture Arrangement - partnership will advance economic development while delivering projects that positively impact the lives of Indigenous peoplefinance.yahoo.com/news/three…#Indigenomics,6 Dec 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht6 Dec 2022This is it!!#indigenomics#YVR#Canada#cdnpoli#bcpoli#bceconNch’ḵay̓ Development Corporation@nchkaycorp6 Dec 2022Before it was burned to the ground to make room for early development in Vancouver, Sen̓áḵw was home to many Sḵwx̱wú7mesh families. 90 years later, the@SquamishNationsuccessfully reclaimed a small portion of that village site.Enable hls playback39","Carol Anne Hilton, MBA@Hesquiaht6 Dec 2022",This is it!!#indigenomics#YVR#Canada#cdnpoli#bcpoli#bcecon,6 Dec 2022,39,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson4 Dec 2022Ottawa approves Ontario critical minerals mine: “Car manufacturers would like to have secure supply of platinum group metals, and copper, from Tier 1 jurisdictions that are carbon-friendly and have support from governments and First Nations""#Indigenomicstheglobeandmail.com/business…11",Don Richardson@Don_Richardson4 Dec 2022,"Ottawa approves Ontario critical minerals mine: “Car manufacturers would like to have secure supply of platinum group metals, and copper, from Tier 1 jurisdictions that are carbon-friendly and have support from governments and First Nations""#Indigenomicstheglobeandmail.com/business…",4 Dec 2022,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht4 Dec 2022Check out the Shop First Nations holiday gift boxes-shopfirstnations.com/indigen…#indigenomics1116","Carol Anne Hilton, MBA@Hesquiaht4 Dec 2022",Check out the Shop First Nations holiday gift boxes-shopfirstnations.com/indigen…#indigenomics,4 Dec 2022,1116,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson3 Dec 2022Mi’kmaq First Nation, environmental group work on creating#zeroemissionlobster boat#Indigenomics#EVsthestar.com/news/canada/2022…via@torontostar14",Don Richardson@Don_Richardson3 Dec 2022,"Mi’kmaq First Nation, environmental group work on creating#zeroemissionlobster boat#Indigenomics#EVsthestar.com/news/canada/2022…via@torontostar",3 Dec 2022,14,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson3 Dec 2022Innovative North Bay bridge racking up accolades for use of sustainable timber - The MTO@ONtransport, Miller Northern Paving and Nipissing First Nation all collaborated to get the project builtnorthernontario.ctvnews.ca/i…#Indigenomics11",Don Richardson@Don_Richardson3 Dec 2022,"Innovative North Bay bridge racking up accolades for use of sustainable timber - The MTO@ONtransport, Miller Northern Paving and Nipissing First Nation all collaborated to get the project builtnorthernontario.ctvnews.ca/i…#Indigenomics",3 Dec 2022,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht2 Dec 2022#indigenomicsDon Richardson@Don_Richardson2 Dec 2022#GrassyNarrowsjust secured a ‘major landmark’ — 20 years after First Nation's logging blockade began, Weyerhaeuser Company says it will not accept any wood from the Whiskey Jack Forest without the consent of Grassy Narrows’ band councilthestar.com/news/canada/2022…via@torontostar","Carol Anne Hilton, MBA@Hesquiaht2 Dec 2022",#indigenomics,2 Dec 2022,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson2 Dec 2022ATCO and Copper Niisüü initiate a new electricity agreement to underpin the Saa Sè Energy solar project in Beaver Creek and enhance energy autonomy for White River First Nationnewswire.ca/news-releases/at…#Indigenomics1,Don Richardson@Don_Richardson2 Dec 2022,ATCO and Copper Niisüü initiate a new electricity agreement to underpin the Saa Sè Energy solar project in Beaver Creek and enhance energy autonomy for White River First Nationnewswire.ca/news-releases/at…#Indigenomics,2 Dec 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 Dec 2022Cool to be featured in this Issue!#indigenomicsDisruption Magazine@DisruptionMagCA30 Nov 2022Just Released Issue 19: We talk#diversityin#techw@TheDMZ, lasting#representation@TorysLLP,#indigenousperspectives w @Hesquiah & the last word@iBrittDavis@Backstage_Cap. Check it out!27","Carol Anne Hilton, MBA@Hesquiaht1 Dec 2022",Cool to be featured in this Issue!#indigenomics,1 Dec 2022,27,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson1 Dec 2022Lake Superior communities create port authority - Town of Marathon, Biigtigong Nishnaabeg ink joint venture agreement to establish commercial harboursootoday.com/local-news/lake…#Indigenomics23",Don Richardson@Don_Richardson1 Dec 2022,"Lake Superior communities create port authority - Town of Marathon, Biigtigong Nishnaabeg ink joint venture agreement to establish commercial harboursootoday.com/local-news/lake…#Indigenomics",1 Dec 2022,23,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson29 Nov 2022Indigenous drone company eyes Mississauga First Nation for hub - Sky Canoe wants to make north shore community an operations hub for its remotely-piloted, long-range cargo aircraftnorthernontariobusiness.com/…via@NorthOntarioBiz#Indigenomics32",Don Richardson@Don_Richardson29 Nov 2022,"Indigenous drone company eyes Mississauga First Nation for hub - Sky Canoe wants to make north shore community an operations hub for its remotely-piloted, long-range cargo aircraftnorthernontariobusiness.com/…via@NorthOntarioBiz#Indigenomics",29 Nov 2022,32,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht28 Nov 2022#indigenomicsBC Mining Law Reform@reformbcmining28 Nov 2022It's been 3 years since the Declaration Act#DRIPAwas adopted. In this year's Action Plan, the government included reforming the Mineral Tenure Act. And yet it is fighting First Nations like Gitxaała in court over their challenge of this colonial-era law.#bcpoli1","Carol Anne Hilton, MBA@Hesquiaht28 Nov 2022",#indigenomics,28 Nov 2022,1,,
