name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
First Nations Financial Management Board,@FNFMB,,First Nations Financial Management Board@FNFMB20 May 2022He was contributing at the#Indigenomicsconference in collaboration with First Nations Tax Commission and@theFNFApresenting the RoadMap project.bit.ly/3PwMAJLFMB was proud to be a diamond sponsor at the event.1,First Nations Financial Management Board@FNFMB20 May 2022,He was contributing at the#Indigenomicsconference in collaboration with First Nations Tax Commission and@theFNFApresenting the RoadMap project.bit.ly/3PwMAJLFMB was proud to be a diamond sponsor at the event.,20 May 2022,1,,
Dr. Nikoosh Carlo,@CNCnorth,,Dr. Nikoosh Carlo@CNCnorth20 May 2022Indigenous by Design#indigenomicswrapping up some inspiring discussions on the future economy5,Dr. Nikoosh Carlo@CNCnorth20 May 2022,Indigenous by Design#indigenomicswrapping up some inspiring discussions on the future economy,20 May 2022,5,,
Earnscliffe Strategies,@EarnscliffeCda,,Earnscliffe Strategies@EarnscliffeCda20 May 2022More from our team at the#Indigenomicsforum in Vancouver:@Hesquiahtspeaks with B.C. Minister@KahlonRavabout the StrongerBC economic plan and the government’s collaboration with Indigenous peoples to develop economic indicators for inclusive growth37,Earnscliffe Strategies@EarnscliffeCda20 May 2022,More from our team at the#Indigenomicsforum in Vancouver:@Hesquiahtspeaks with B.C. Minister@KahlonRavabout the StrongerBC economic plan and the government’s collaboration with Indigenous peoples to develop economic indicators for inclusive growth,20 May 2022,37,,
Dr. Nikoosh Carlo,@CNCnorth,,Dr. Nikoosh Carlo@CNCnorth20 May 2022Day 2#indigenomicsand digging in to investing in Indigenous economies!112,Dr. Nikoosh Carlo@CNCnorth20 May 2022,Day 2#indigenomicsand digging in to investing in Indigenous economies!,20 May 2022,112,,
Diana Palmerín (she/her),@PalmerinDiana,,"Diana Palmerín (she/her)@PalmerinDiana20 May 2022On Day 2 of#Indigenomics, the Hon.@KahlonRavtalks about the huge economic opportunities being led by First Nations across British Columbia#EconomicReconciliation#IndigenousEconomy",Diana Palmerín (she/her)@PalmerinDiana20 May 2022,"On Day 2 of#Indigenomics, the Hon.@KahlonRavtalks about the huge economic opportunities being led by First Nations across British Columbia#EconomicReconciliation#IndigenousEconomy",20 May 2022,,,
InBC,@InBCInvestment,,InBC@InBCInvestment20 May 2022We're attending#Indigenomicsthis year!#Indigenous#economy#advancereconciliationLeah Nguyen (she/her)@leahinyvr20 May 2022“Who wants to play#indigenomicswith me?” -@HesquiahtA great first day at the Indigenomics by Design conference on how to unlock the $100B Indigenous economy. Bonus: the chance to play with LEGO! 🧱#advancereconciliation#innovation#legoseriousplay18,InBC@InBCInvestment20 May 2022,We're attending#Indigenomicsthis year!#Indigenous#economy#advancereconciliation,20 May 2022,18,,
newsocietypub,@NewSocietyPub,,newsocietypub@NewSocietyPub20 May 2022Speaking now at Indigenous by Design the Honourable Ravi Kahlon#indigenomics@Hesquiaht32,newsocietypub@NewSocietyPub20 May 2022,Speaking now at Indigenous by Design the Honourable Ravi Kahlon#indigenomics@Hesquiaht,20 May 2022,32,,
newsocietypub,@NewSocietyPub,,newsocietypub@NewSocietyPub20 May 2022Good morning from Day Two of Indigenous by Design#indigenomics@Hesquiaht13,newsocietypub@NewSocietyPub20 May 2022,Good morning from Day Two of Indigenous by Design#indigenomics@Hesquiaht,20 May 2022,13,,
CascadiaSeaweed,@CascadiaSeaweed,,"CascadiaSeaweed@CascadiaSeaweed20 May 2022“I’m here to absorb knowledge and perspectives from Indigenous leaders. I have already learnt that we share common goals of creating opportunities that benefit people and the planet.”
Rob Napoli, Cascadia Seaweed.#INDIGENOUS@Min_IndServ#indigenomics@Hesquiaht@SDGoals23",CascadiaSeaweed@CascadiaSeaweed20 May 2022,"“I’m here to absorb knowledge and perspectives from Indigenous leaders. I have already learnt that we share common goals of creating opportunities that benefit people and the planet.”
Rob Napoli, Cascadia Seaweed.#INDIGENOUS@Min_IndServ#indigenomics@Hesquiaht@SDGoals",20 May 2022,23,,
