name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht10 Mar 2022Come check out the keynote addresses at the#Indigenomics2022 Design Conference- 'Activating the Financial Architecture of the#100Billion#IndigenousEconomy' Register atindigenomicsinstitute.com#canecon#cdnpoli#bcpoli#bcecon#YVRwith @berndchristmas and@RomeoSaganash116","Carol Anne Hilton, MBA@Hesquiaht10 Mar 2022",Come check out the keynote addresses at the#Indigenomics2022 Design Conference- 'Activating the Financial Architecture of the#100Billion#IndigenousEconomy' Register atindigenomicsinstitute.com#canecon#cdnpoli#bcpoli#bcecon#YVRwith @berndchristmas and@RomeoSaganash,10 Mar 2022,116,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht9 Mar 2022Keynote address by Bernd Christmas from Nch'Kay of Squamish Nation at the#indigenomics2022 Design Conference 'Activating the Financial Architecture of the#100BillionIndigenous Economy' Register atindigenomicsinstitute.com#indigenouseconomy#canada#cdnpoli#canecon#UNDRIP35","Carol Anne Hilton, MBA@Hesquiaht9 Mar 2022",Keynote address by Bernd Christmas from Nch'Kay of Squamish Nation at the#indigenomics2022 Design Conference 'Activating the Financial Architecture of the#100BillionIndigenous Economy' Register atindigenomicsinstitute.com#indigenouseconomy#canada#cdnpoli#canecon#UNDRIP,9 Mar 2022,35,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson9 Mar 2022“For many of us, this marks the first time that our Nations have been included as owners in a major natural resource project that is crossing our territories,” said Chief Corrina Leween of the Cheslatta Carrier Nation#Indigenomicsfinancialpost.com/pmn/busine…112",Don Richardson@Don_Richardson9 Mar 2022,"“For many of us, this marks the first time that our Nations have been included as owners in a major natural resource project that is crossing our territories,” said Chief Corrina Leween of the Cheslatta Carrier Nation#Indigenomicsfinancialpost.com/pmn/busine…",9 Mar 2022,112,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht9 Mar 2022Keynote address by Romeo Saganash at the#indigenomics2022 Design Conference 'Activating the Financial Architecture of the#100Billiondollar Indigenous Economy' May 19/20th in Vancouver. Register atindigenomicsinstitute.com#indigenouseconomy#canada#cdnpoli#canecon#UNDRIP819","Carol Anne Hilton, MBA@Hesquiaht9 Mar 2022",Keynote address by Romeo Saganash at the#indigenomics2022 Design Conference 'Activating the Financial Architecture of the#100Billiondollar Indigenous Economy' May 19/20th in Vancouver. Register atindigenomicsinstitute.com#indigenouseconomy#canada#cdnpoli#canecon#UNDRIP,9 Mar 2022,819,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht9 Mar 2022Indigenous women entrepreneurs celebrate culture through commerce in Alberta | CBC News#indigenomicsin action#indigenouseconomycbc.ca/news/canada/edmonton/…1","Carol Anne Hilton, MBA@Hesquiaht9 Mar 2022",Indigenous women entrepreneurs celebrate culture through commerce in Alberta | CBC News#indigenomicsin action#indigenouseconomycbc.ca/news/canada/edmonton/…,9 Mar 2022,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson9 Mar 2022Landrex, Fort McKay First Nation partner on $176M Urban Village in St. Albert - the village will be one of the largest First Nation real-estate developments in the Edmonton region oof Alberta#Indigenomicsstalberttoday.ca/local-news/…112",Don Richardson@Don_Richardson9 Mar 2022,"Landrex, Fort McKay First Nation partner on $176M Urban Village in St. Albert - the village will be one of the largest First Nation real-estate developments in the Edmonton region oof Alberta#Indigenomicsstalberttoday.ca/local-news/…",9 Mar 2022,112,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson9 Mar 2022The Mississaugas of Scugog Island First Nation@MSIFNand the Township of Scugog@TwpofScugogRatify Service Agreement: The agreement builds on the governments’ strong relationship and support for the revitalization of Lake Scugog in Ontarioscugog.ca/en/news/the-missis…#Indigenomics2,Don Richardson@Don_Richardson9 Mar 2022,The Mississaugas of Scugog Island First Nation@MSIFNand the Township of Scugog@TwpofScugogRatify Service Agreement: The agreement builds on the governments’ strong relationship and support for the revitalization of Lake Scugog in Ontarioscugog.ca/en/news/the-missis…#Indigenomics,9 Mar 2022,2,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson9 Mar 2022Indigenous groups still aim to buy Trans Mountain pipeline, even as costs soar - Federal government has said it is open to Indigenous ownership of the pipeline. It has said next steps toward that objective will be announced later this year#Indigenomicscalgary.ctvnews.ca/indigenou…",Don Richardson@Don_Richardson9 Mar 2022,"Indigenous groups still aim to buy Trans Mountain pipeline, even as costs soar - Federal government has said it is open to Indigenous ownership of the pipeline. It has said next steps toward that objective will be announced later this year#Indigenomicscalgary.ctvnews.ca/indigenou…",9 Mar 2022,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson8 Mar 2022New Indigenous investment fund places $10M stake with Nuu-chah-nulth Economic Development Corp., Vancouver Island-based lender whose clients include fashion house Ay Lelum and the business development arm of Huu-ay-aht First Nations#Indigenomics#IWD2022theglobeandmail.com/business…24",Don Richardson@Don_Richardson8 Mar 2022,"New Indigenous investment fund places $10M stake with Nuu-chah-nulth Economic Development Corp., Vancouver Island-based lender whose clients include fashion house Ay Lelum and the business development arm of Huu-ay-aht First Nations#Indigenomics#IWD2022theglobeandmail.com/business…",8 Mar 2022,24,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht7 Mar 2022#indigenomicsin action#indigenouseconomy#100billionFirst Nations Power Authority@FNPower7 Mar 2022We’re always thrilled to see new First Nations partnerships and Indigenous-led companies form—especially in the renewable energy market!

​​Read more about how this positively impacts our communities.#FNPA#FirstNations#Indigenous#Inuit#CleanTechsasktoday.ca/central/local-n…1","Carol Anne Hilton, MBA@Hesquiaht7 Mar 2022",#indigenomicsin action#indigenouseconomy#100billion,7 Mar 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht6 Mar 2022The foundation of#indianacteconomics#indianact#indigenomics#selfdetermination#100billionWil Jimmy@tcfncitizen6 Mar 2022As long as we First Nation people continue to rely and depend on funding from the federal government for our existence, it will be challenging to make progress#selfdetermination114","Carol Anne Hilton, MBA@Hesquiaht6 Mar 2022",The foundation of#indianacteconomics#indianact#indigenomics#selfdetermination#100billion,6 Mar 2022,114,,
2 RowFlow Cultural Commons,@2RowFlow,,"2 RowFlow Cultural Commons@2RowFlow6 Mar 2022“Finite players play within boundaries; infinite players play with boundaries.”
― James Carse, Finite and Infinite Games#Indigenomics",2 RowFlow Cultural Commons@2RowFlow6 Mar 2022,"“Finite players play within boundaries; infinite players play with boundaries.”
― James Carse, Finite and Infinite Games#Indigenomics",6 Mar 2022,,,
