name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
OpinioNative,@Opinio_Native,,OpinioNative@Opinio_Native14 Feb 2022New research published on Indigenous Business in Australia by@DarrenGodwell@i2i_Global@dfat#Indigenomics#IndigiTrade#IndigiBizdfat.gov.au/publications/int…127,OpinioNative@Opinio_Native14 Feb 2022,New research published on Indigenous Business in Australia by@DarrenGodwell@i2i_Global@dfat#Indigenomics#IndigiTrade#IndigiBizdfat.gov.au/publications/int…,14 Feb 2022,127,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht13 Feb 2022Business partnership creates economic opportunities for Sask. First Nationssaskatoon.ctvnews.ca/busines…#indigenomics#indigenouseconomy#100billion#beyondIndianActeconomics#canecon25","Carol Anne Hilton, MBA@Hesquiaht13 Feb 2022",Business partnership creates economic opportunities for Sask. First Nationssaskatoon.ctvnews.ca/busines…#indigenomics#indigenouseconomy#100billion#beyondIndianActeconomics#canecon,13 Feb 2022,25,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson12 Feb 2022@ConfBoardofCda- Indigenous Ownership: A New Economic Era. Equity-based agreements help push for more inclusive, robust and substantive Indigenous engagement in projectsconferenceboard.ca/focus-are…#Indigenomics",Don Richardson@Don_Richardson12 Feb 2022,"@ConfBoardofCda- Indigenous Ownership: A New Economic Era. Equity-based agreements help push for more inclusive, robust and substantive Indigenous engagement in projectsconferenceboard.ca/focus-are…#Indigenomics",12 Feb 2022,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson12 Feb 2022New largely Indigenous-owned partnership in renewable energy to fuel future generations - MiEnergy North America is the result of a new partnership between the Meadow Lake Tribal Council (MLTC), Mistawasis Nêhiyawak and miEnergy Incckom.com/2022/02/11/new-larg…#Indigenomics1",Don Richardson@Don_Richardson12 Feb 2022,"New largely Indigenous-owned partnership in renewable energy to fuel future generations - MiEnergy North America is the result of a new partnership between the Meadow Lake Tribal Council (MLTC), Mistawasis Nêhiyawak and miEnergy Incckom.com/2022/02/11/new-larg…#Indigenomics",12 Feb 2022,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson12 Feb 2022Canada’s Indigenous communities are a growing presence in commercial and multiresidential real estate development, with stakes in projects across the country comprising millions of square feet of development on thousands of acres of landrenx.ca/indigenous-developme…#Indigenomics22",Don Richardson@Don_Richardson12 Feb 2022,"Canada’s Indigenous communities are a growing presence in commercial and multiresidential real estate development, with stakes in projects across the country comprising millions of square feet of development on thousands of acres of landrenx.ca/indigenous-developme…#Indigenomics",12 Feb 2022,22,,
SFU CED Program,@SFUCED,,"SFU CED Program@SFUCED11 Feb 2022Applications for SFU's Certificate in Community Economic Development are still open.
Our 8-month online program begins February 21st.
Register today!sfu.ca/ced/certificate/appli…#CED#indigenomics#ecdev#communitydevelopment1",SFU CED Program@SFUCED11 Feb 2022,"Applications for SFU's Certificate in Community Economic Development are still open.
Our 8-month online program begins February 21st.
Register today!sfu.ca/ced/certificate/appli…#CED#indigenomics#ecdev#communitydevelopment",11 Feb 2022,1,,
2 RowFlow Cultural Commons,@2RowFlow,,"2 RowFlow Cultural Commons@2RowFlow11 Feb 2022Replying to@carabreactrue, we need a new form of governance with indigenous ways, customs & laws as the framework -- lead by Indigenous thought leaders! check out@Hesquiaht's 
 book and work on#Indigenomics.  As @donnachange says ""Economics is the mother of all Systems"". A'ho.2",2 RowFlow Cultural Commons@2RowFlow11 Feb 2022,"true, we need a new form of governance with indigenous ways, customs & laws as the framework -- lead by Indigenous thought leaders! check out@Hesquiaht's 
 book and work on#Indigenomics.  As @donnachange says ""Economics is the mother of all Systems"". A'ho.",11 Feb 2022,2,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht10 Feb 2022Love this!#indigenomicsin actionTreaty Commissioner@TreatyOfficeSK10 Feb 2022The Indigenous Business Students’ Society (IBSS) is excited to host their second Indigenous Achievement Conference tomorrow. The event will be held virtuallyotc.ca/attend_an_event/event…3","Carol Anne Hilton, MBA@Hesquiaht10 Feb 2022",Love this!#indigenomicsin action,10 Feb 2022,3,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson10 Feb 2022Seaweed farming partnership between Sidney-based company and Island First Nations paying off - Cascadia Seaweed, the largest cultivator of seaweed in North America, has made partnerships with six different First Nations on Vancouver Island#Indigenomicsvancouverisland.ctvnews.ca/s…",Don Richardson@Don_Richardson10 Feb 2022,"Seaweed farming partnership between Sidney-based company and Island First Nations paying off - Cascadia Seaweed, the largest cultivator of seaweed in North America, has made partnerships with six different First Nations on Vancouver Island#Indigenomicsvancouverisland.ctvnews.ca/s…",10 Feb 2022,,,
