name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
BearsLair_TV,@BearslairT,,"BearsLair_TV@BearslairT26 Sep 2022Congratulations to our episode 3 WINNER!! Meet the Contestants - Matricia Bauer, Warrior Women Inc. From Jasper, Alberta, Matricia is of Cree heritage.#BearsLairTV#BearsLair#SpiritofCoopetition#Indigenomics#Indigenouswomen#aboriginal#indigenousentrepreneurs13",BearsLair_TV@BearslairT26 Sep 2022,"Congratulations to our episode 3 WINNER!! Meet the Contestants - Matricia Bauer, Warrior Women Inc. From Jasper, Alberta, Matricia is of Cree heritage.#BearsLairTV#BearsLair#SpiritofCoopetition#Indigenomics#Indigenouswomen#aboriginal#indigenousentrepreneurs",26 Sep 2022,13,,
Coast Funds,@coastfunds,,Coast Funds@coastfunds23 Sep 2022Spirit Bear Lodge employees nearly 10% of population in#Klemtu. Learn how this successful#ecotourismbusiness came to beow.ly/hR4S30iQdsK@spiritbearbc#Indigenomics#Indigenoustourism22,Coast Funds@coastfunds23 Sep 2022,Spirit Bear Lodge employees nearly 10% of population in#Klemtu. Learn how this successful#ecotourismbusiness came to beow.ly/hR4S30iQdsK@spiritbearbc#Indigenomics#Indigenoustourism,23 Sep 2022,22,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht23 Sep 2022Check out the updated#indigenomicsSHE event agenda!25","Carol Anne Hilton, MBA@Hesquiaht23 Sep 2022",Check out the updated#indigenomicsSHE event agenda!,23 Sep 2022,25,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht22 Sep 2022Looking forward to doing a keynote address at the Global First Nations Carbon SummitRx#indigenomicsthecarbonsummit.com/?fbclid=…2","Carol Anne Hilton, MBA@Hesquiaht22 Sep 2022",Looking forward to doing a keynote address at the Global First Nations Carbon SummitRx#indigenomicsthecarbonsummit.com/?fbclid=…,22 Sep 2022,2,,
BearsLair_TV,@BearslairT,,BearsLair_TV@BearslairT22 Sep 2022Thank you to our#ThunderbirdSponsors#INDIGENOUS#indigenomics#bearslairtv@scotiabank@NACCAinfo@SFU@Moneris@securiguard11,BearsLair_TV@BearslairT22 Sep 2022,Thank you to our#ThunderbirdSponsors#INDIGENOUS#indigenomics#bearslairtv@scotiabank@NACCAinfo@SFU@Moneris@securiguard,22 Sep 2022,11,,
BearsLair_TV,@BearslairT,,"BearsLair_TV@BearslairT22 Sep 2022Guest Judges for Season 1!
Monica James@bdc_ca| John Gailus DGW Law | Karen Fritz@opg| Ayman Ammoura Driving Force | Geoff Greenwell Aboriginal Capacity Builders |@tearafraser@IskwewAir| Tanja Perry@scotiabank| Christin Bergeron@Vancity|@Hesquiaht#Indigenomics25",BearsLair_TV@BearslairT22 Sep 2022,"Guest Judges for Season 1!
Monica James@bdc_ca| John Gailus DGW Law | Karen Fritz@opg| Ayman Ammoura Driving Force | Geoff Greenwell Aboriginal Capacity Builders |@tearafraser@IskwewAir| Tanja Perry@scotiabank| Christin Bergeron@Vancity|@Hesquiaht#Indigenomics",22 Sep 2022,25,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson22 Sep 2022#HydroOnelaunches industry-leading 50-50 equity model with First Nations on new large-scale transmission line projects#Indigenomicsnewswire.ca/news-releases/hy…14,Don Richardson@Don_Richardson22 Sep 2022,#HydroOnelaunches industry-leading 50-50 equity model with First Nations on new large-scale transmission line projects#Indigenomicsnewswire.ca/news-releases/hy…,22 Sep 2022,14,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht22 Sep 2022Register today atIndigenomicsinstitute.com#indigenomics#SHE11","Carol Anne Hilton, MBA@Hesquiaht22 Sep 2022",Register today atIndigenomicsinstitute.com#indigenomics#SHE,22 Sep 2022,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht21 Sep 2022The '#Indigenomics- Taking A Seat At the Economic Table' book is available for direct orders and signed copies are only available atcarolannehilton.com#bcecon#canecon#indigenouseconomy3","Carol Anne Hilton, MBA@Hesquiaht21 Sep 2022",The '#Indigenomics- Taking A Seat At the Economic Table' book is available for direct orders and signed copies are only available atcarolannehilton.com#bcecon#canecon#indigenouseconomy,21 Sep 2022,3,,
