name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Feb 2022Saturdays are for book signing at#indigenomicsInstitute! Signed copies Atcarolannehilton.com#indigenouseconomy#indigenousprosperity#100billion#Canada#bcecon#canecon#indogenousauthor127","Carol Anne Hilton, MBA@Hesquiaht26 Feb 2022",Saturdays are for book signing at#indigenomicsInstitute! Signed copies Atcarolannehilton.com#indigenouseconomy#indigenousprosperity#100billion#Canada#bcecon#canecon#indogenousauthor,26 Feb 2022,127,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Feb 2022#indigenomics#indigenouseconomy#100billion#bceconDon Richardson@Don_Richardson26 Feb 2022Canfor plans to sell forest tenure in Mackenzie region of B.C. to two First Nations - McLeod Lake Indian Band and Tsay Keh Dene Nationagassizharrisonobserver.com/…#Indigenomics5","Carol Anne Hilton, MBA@Hesquiaht26 Feb 2022",#indigenomics#indigenouseconomy#100billion#bcecon,26 Feb 2022,5,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson26 Feb 2022Canfor plans to sell forest tenure in Mackenzie region of B.C. to two First Nations - McLeod Lake Indian Band and Tsay Keh Dene Nationagassizharrisonobserver.com/…#Indigenomics13,Don Richardson@Don_Richardson26 Feb 2022,Canfor plans to sell forest tenure in Mackenzie region of B.C. to two First Nations - McLeod Lake Indian Band and Tsay Keh Dene Nationagassizharrisonobserver.com/…#Indigenomics,26 Feb 2022,13,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson26 Feb 2022The Williams Lake First Nation and Taseko Mines Ltd. sign a participation and co-operation agreementwltribune.com/news/williams-…#Indigenomics,Don Richardson@Don_Richardson26 Feb 2022,The Williams Lake First Nation and Taseko Mines Ltd. sign a participation and co-operation agreementwltribune.com/news/williams-…#Indigenomics,26 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht25 Feb 2022#indigenomicsin action#indigenouseconomy#100billionFirst Nations Financial Management Board@FNFMB25 Feb 2022Feds float $11.8 million for Indigenous commercial fishing venture on West Coast 
Funds to support new businesses, training & increased access to fisheries for 31 Indigenous commercial fishing companies involving 117 First Nations across B.C.bit.ly/33SEKap@NatObserver23","Carol Anne Hilton, MBA@Hesquiaht25 Feb 2022",#indigenomicsin action#indigenouseconomy#100billion,25 Feb 2022,23,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht25 Feb 2022interesting#BCapproach#indigenomics#UNDRIPnews.gov.bc.ca/releases/2022…1","Carol Anne Hilton, MBA@Hesquiaht25 Feb 2022",interesting#BCapproach#indigenomics#UNDRIPnews.gov.bc.ca/releases/2022…,25 Feb 2022,1,,
Vem.energy,@vem_energy,,Vem.energy@vem_energy25 Feb 2022Check out the BIG announcement coming out of Australia!#indigenousrights#indigenousemployment#indigenomics#indigenousleadership#indigenouscanada#indigenousbusinesslnkd.in/e4NwX5Rd,Vem.energy@vem_energy25 Feb 2022,Check out the BIG announcement coming out of Australia!#indigenousrights#indigenousemployment#indigenomics#indigenousleadership#indigenouscanada#indigenousbusinesslnkd.in/e4NwX5Rd,25 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht24 Feb 2022#indigenomics#indigenouseconomy#100billion#indigenousprosperityThis tweet is unavailable1","Carol Anne Hilton, MBA@Hesquiaht24 Feb 2022",#indigenomics#indigenouseconomy#100billion#indigenousprosperity,24 Feb 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht24 Feb 2022Canada deserves better than#IndianActEconomics- since 1867!#Canada#cdnpoliwith@PattyHajdu#IndianAct#indigenomics#100billion#indigenouseconomy@MarcMillerVM#caneconWil Jimmy@tcfncitizen24 Feb 2022The Indian Act has created a dependence on the Federal Government for our existence, it dictates our short election terms putting a strain on our ability to have meaningful progress#endindianact25","Carol Anne Hilton, MBA@Hesquiaht24 Feb 2022",Canada deserves better than#IndianActEconomics- since 1867!#Canada#cdnpoliwith@PattyHajdu#IndianAct#indigenomics#100billion#indigenouseconomy@MarcMillerVM#canecon,24 Feb 2022,25,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht24 Feb 2022#indigenomicsin action#indigenouseconomy#indigenousreconciliation#100billion#abeconChief Billy Morin@billymorinECN24 Feb 2022Honoured to meet with@UFAcooperativeto discuss Reconcili-Action in the AGSector. On top of @The_AIOC’s recent mandate expansion in Agriculture, there is So much Potential for partnership in rural industry. Indigenous communities & 120,000 UFA co-op members have much in common.12","Carol Anne Hilton, MBA@Hesquiaht24 Feb 2022",#indigenomicsin action#indigenouseconomy#indigenousreconciliation#100billion#abecon,24 Feb 2022,12,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson24 Feb 2022#BlueberryRiverFirst Nations (BRFN) court decision begins to play out in B.C.’s northern gas patchbiv.com/article/2022/02/cour…#Indigenomics1,Don Richardson@Don_Richardson24 Feb 2022,#BlueberryRiverFirst Nations (BRFN) court decision begins to play out in B.C.’s northern gas patchbiv.com/article/2022/02/cour…#Indigenomics,24 Feb 2022,1,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson24 Feb 2022Ottawa investing over $11M to support First Nations commercial fisheries in B.C. - Federal fisheries minister says money will benefit 31 Indigenous companies#Indigenomicscbc.ca/news/canada/british-c…1,Don Richardson@Don_Richardson24 Feb 2022,Ottawa investing over $11M to support First Nations commercial fisheries in B.C. - Federal fisheries minister says money will benefit 31 Indigenous companies#Indigenomicscbc.ca/news/canada/british-c…,24 Feb 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht23 Feb 2022#indigenomicsICT@IndianCountry23 Feb 2022“They were never even taught that tribes exist. We have to tell them this was done purposefully – there is a reason you don’t know.” The#ANCSA50series returns with an in-depth look at Alaska’s incomplete story of sovereignty.indiancountrytoday.com/news/…11","Carol Anne Hilton, MBA@Hesquiaht23 Feb 2022",#indigenomics,23 Feb 2022,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht22 Feb 2022Join#Indigenomics! Read our latest newsletter, and subscribe for updates from the Indigenomics Institute and learn how you can contribute to the emerging $100 Billion Dollar Indigenous Economy! Subscribe ateepurl.com/gT4jOD#indigenouseconomy#canecon#bcecon#cdnpoliEnable hls playback6120","Carol Anne Hilton, MBA@Hesquiaht22 Feb 2022","Join#Indigenomics! Read our latest newsletter, and subscribe for updates from the Indigenomics Institute and learn how you can contribute to the emerging $100 Billion Dollar Indigenous Economy! Subscribe ateepurl.com/gT4jOD#indigenouseconomy#canecon#bcecon#cdnpoli",22 Feb 2022,6120,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson22 Feb 2022First Nations community, mining company sign on for ""greenest"" nickel mine - the Norway House Cree Nation (NHCN) and the Flying Nickel Mining Corporation announced in a media release they have signed a Memorandum of Understanding (MOU)winnipegsun.com/news/news-ne…#Indigenomics114",Don Richardson@Don_Richardson22 Feb 2022,"First Nations community, mining company sign on for ""greenest"" nickel mine - the Norway House Cree Nation (NHCN) and the Flying Nickel Mining Corporation announced in a media release they have signed a Memorandum of Understanding (MOU)winnipegsun.com/news/news-ne…#Indigenomics",22 Feb 2022,114,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht21 Feb 2022#indigenomics#indigenouseconomy#100bilkion#caneconPeter (Piiyenh) Recollet@PeterRecollet21 Feb 2022Anishinabek leaders weigh in on resource revenue sharingnorthernontariobusiness.com/…via@NorthOntarioBiz#RHT1850@1850RHTreaty#annuities1","Carol Anne Hilton, MBA@Hesquiaht21 Feb 2022",#indigenomics#indigenouseconomy#100bilkion#canecon,21 Feb 2022,1,,
2 RowFlow Cultural Commons,@2RowFlow,,"2 RowFlow Cultural Commons@2RowFlow21 Feb 2022""Wake UP! Get yr boots on! Get your bags packed"" it's Time get on the phone with the Crown!@fordnation@JustinTrudeau@Terrilltf@RussDiabo@KanahusFreedom@TheAgentNDN@CreeWarrior2010@TheDHTaylor@Indigenia@gindaanis@Gidimten#Indigenomics@1mohawklawyer@MOHAWKEMOTIONS",2 RowFlow Cultural Commons@2RowFlow21 Feb 2022,"""Wake UP! Get yr boots on! Get your bags packed"" it's Time get on the phone with the Crown!@fordnation@JustinTrudeau@Terrilltf@RussDiabo@KanahusFreedom@TheAgentNDN@CreeWarrior2010@TheDHTaylor@Indigenia@gindaanis@Gidimten#Indigenomics@1mohawklawyer@MOHAWKEMOTIONS",21 Feb 2022,,,
2 RowFlow Cultural Commons,@2RowFlow,,"2 RowFlow Cultural Commons@2RowFlow21 Feb 2022THERE IS AN EMERGENCY, IT'S NOT WHAT TRUDEAU CALLED FOR....  there is the emergency of First Nations who work at Labor jobs and wish to develop their resources.......#Apartheid#Indigenomicspiped.video/Up2514ePzIo",2 RowFlow Cultural Commons@2RowFlow21 Feb 2022,"THERE IS AN EMERGENCY, IT'S NOT WHAT TRUDEAU CALLED FOR....  there is the emergency of First Nations who work at Labor jobs and wish to develop their resources.......#Apartheid#Indigenomicspiped.video/Up2514ePzIo",21 Feb 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht20 Feb 2022#indigenomicsin action#indigenouseconomy#100billion#indigenousprosperityBill Namagoose, C.M.@billnama20 Feb 2022Creeco ODEA condo/apartment rising in#Montreal@boccreeco#IndigenousPeoples2","Carol Anne Hilton, MBA@Hesquiaht20 Feb 2022",#indigenomicsin action#indigenouseconomy#100billion#indigenousprosperity,20 Feb 2022,2,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson19 Feb 2022Tahltan Nation Development Corporation (TNDC), the business arm of the northwest B.C. First Nation, is set to become a distributor for the Swedish mining equipment company@Sandvik_Mining#Indigenomicsthestar.com/news/canada/2022…via@torontostar15",Don Richardson@Don_Richardson19 Feb 2022,"Tahltan Nation Development Corporation (TNDC), the business arm of the northwest B.C. First Nation, is set to become a distributor for the Swedish mining equipment company@Sandvik_Mining#Indigenomicsthestar.com/news/canada/2022…via@torontostar",19 Feb 2022,15,,
