name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht18 Mar 2022Clearwater Seafoods will keep its Arctic surf clam monopoly | CBC News#indigenomics#indigenouseconomy#100billion#caneconcbc.ca/news/canada/nova-scot…23","Carol Anne Hilton, MBA@Hesquiaht18 Mar 2022",Clearwater Seafoods will keep its Arctic surf clam monopoly | CBC News#indigenomics#indigenouseconomy#100billion#caneconcbc.ca/news/canada/nova-scot…,18 Mar 2022,23,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht17 Mar 2022Nuchatlaht take fight for heavily logged territory to B.C. Supreme Court. Here’s what you need to know:thenarwhal.ca/nuchatlaht-ind…#indigenomicsin action!#indigenouseconomy#indigenous#UNDRIP#bcpoli#canecon#cdnpoli#nuuchahnulth2","Carol Anne Hilton, MBA@Hesquiaht17 Mar 2022",Nuchatlaht take fight for heavily logged territory to B.C. Supreme Court. Here’s what you need to know:thenarwhal.ca/nuchatlaht-ind…#indigenomicsin action!#indigenouseconomy#indigenous#UNDRIP#bcpoli#canecon#cdnpoli#nuuchahnulth,17 Mar 2022,2,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht16 Mar 2022Have you registered yet for the Indigenous ESG panel on March 29th?#indigenomics#ESG#indigenous#impactCarol Anne Hilton, MBA@Hesquiaht15 Mar 2022Check out these panelists for the Bringing the  I in ESG- An Indigenous Perspective panel!  Registration is now available. Please note time zones.#indigenomics#indigenouseconomy#ESG#impact#design#invest227","Carol Anne Hilton, MBA@Hesquiaht16 Mar 2022",Have you registered yet for the Indigenous ESG panel on March 29th?#indigenomics#ESG#indigenous#impact,16 Mar 2022,227,,
West Van Library,@WestVanLibrary,,"West Van Library@WestVanLibrary16 Mar 2022Read Green for a better#ClimateFuture! Join our Climate Writer in Residence@Katlia11at 6:30 p.m. on Wed, March 30 to discuss@Hesquiaht's#Indigenomics: Taking a Seat at the Economic Table.westvanlibrary.ca/event/read…22",West Van Library@WestVanLibrary16 Mar 2022,"Read Green for a better#ClimateFuture! Join our Climate Writer in Residence@Katlia11at 6:30 p.m. on Wed, March 30 to discuss@Hesquiaht's#Indigenomics: Taking a Seat at the Economic Table.westvanlibrary.ca/event/read…",16 Mar 2022,22,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht15 Mar 2022...'supporting and implementing policies that benefit isolated and remote FN communities in the region.' Canada and Ontario needs to get ready for the#100billiondollar Indigenous economy. This is not it!#indigenouseconomy#EV#criticalminerals#canecon#indigenomics#TMXGroupGlobal Business Reports@GBReports10 Mar 2022After over 100 interviews and in collaboration with@TMXGroup& the@OntMiningAssoc, we are happy to announce the launch of GBR's#Miningin#Ontarioand#Toronto's Global Reach 2022 report.

We hope you enjoy the read!projects.gbreports.com/ontar…#GBR#Miningreport#Ontariomining115","Carol Anne Hilton, MBA@Hesquiaht15 Mar 2022",...'supporting and implementing policies that benefit isolated and remote FN communities in the region.' Canada and Ontario needs to get ready for the#100billiondollar Indigenous economy. This is not it!#indigenouseconomy#EV#criticalminerals#canecon#indigenomics#TMXGroup,15 Mar 2022,115,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht15 Mar 2022'Gweksijigewin- Making it Right' w/@DukePeltier- Indigenomics 2022 Design Forum -Activating the Financial Architecture of the 100 billion dollar Indigenous Economy#indigenomics#indigenouseconomy#canecon#bcecon#cdnpoli#Canada#treaty#UNDRIPindigenomicsinstitute.com416","Carol Anne Hilton, MBA@Hesquiaht15 Mar 2022",'Gweksijigewin- Making it Right' w/@DukePeltier- Indigenomics 2022 Design Forum -Activating the Financial Architecture of the 100 billion dollar Indigenous Economy#indigenomics#indigenouseconomy#canecon#bcecon#cdnpoli#Canada#treaty#UNDRIPindigenomicsinstitute.com,15 Mar 2022,416,,
Social Value Canada #SocialValue #SocialImpact,@SocialValueCDA,,Social Value Canada #SocialValue #SocialImpact@SocialValueCDA15 Mar 2022SocialValueInt: RT@Hesquiaht: Check out these panelists for the Bringing the  I in ESG- An Indigenous Perspective panel!  Registration is now available. Please note time zones.#indigenomics#indigenouseconomy#ESG#impact#design#invest,Social Value Canada #SocialValue #SocialImpact@SocialValueCDA15 Mar 2022,SocialValueInt: RT@Hesquiaht: Check out these panelists for the Bringing the  I in ESG- An Indigenous Perspective panel!  Registration is now available. Please note time zones.#indigenomics#indigenouseconomy#ESG#impact#design#invest,15 Mar 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht15 Mar 2022Check out these panelists for the Bringing the  I in ESG- An Indigenous Perspective panel!  Registration is now available. Please note time zones.#indigenomics#indigenouseconomy#ESG#impact#design#invest829","Carol Anne Hilton, MBA@Hesquiaht15 Mar 2022",Check out these panelists for the Bringing the  I in ESG- An Indigenous Perspective panel!  Registration is now available. Please note time zones.#indigenomics#indigenouseconomy#ESG#impact#design#invest,15 Mar 2022,829,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson15 Mar 2022New insurance services offered in Fort William First Nationshar.es/aWTHIv#Indigenomics,Don Richardson@Don_Richardson15 Mar 2022,New insurance services offered in Fort William First Nationshar.es/aWTHIv#Indigenomics,15 Mar 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht14 Mar 2022#indigenomics#indigenouseconomy#100billion#bcecon@KahlonRavClean Energy Canada@cleanenergycan14 Mar 2022⚒️ 🪨 ""First Nations in B.C. and the province itself is set to benefit from the demand for minerals for a low-carbon future, and can be global leaders.""#bcpoli#mining#energytransition#cleaneconomycbc.ca/news/canada/british-c…11","Carol Anne Hilton, MBA@Hesquiaht14 Mar 2022",#indigenomics#indigenouseconomy#100billion#bcecon@KahlonRav,14 Mar 2022,11,,
