name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht26 Jan 2022#indigenomics#treaty#ontario#Canada<decolonize the balance sheet>Peter (Piiyenh) Recollet@PeterRecollet25 Jan 2022#RHT1850@waub@AutumnPeltier1@mishiikenhkwe1","Carol Anne Hilton, MBA@Hesquiaht26 Jan 2022",#indigenomics#treaty#ontario#Canada<decolonize the balance sheet>,26 Jan 2022,1,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson26 Jan 2022Communities on the Move: Netmizaaggamig Nishnaabeg on the road to self sufficiency - Schooled in the business of hydroelectric and resource development, northwestern Ontario First Nation ready to branch into retailnorthernontariobusiness.com/…via@NorthOntarioBiz#Indigenomics",Don Richardson@Don_Richardson26 Jan 2022,"Communities on the Move: Netmizaaggamig Nishnaabeg on the road to self sufficiency - Schooled in the business of hydroelectric and resource development, northwestern Ontario First Nation ready to branch into retailnorthernontariobusiness.com/…via@NorthOntarioBiz#Indigenomics",26 Jan 2022,,,
Scott Harrison,@ColdWarHistory,,Scott Harrison@ColdWarHistory26 Jan 2022“Indigenomics is a pathway to pull Canada into a better future.” As cited in@Hesquiaht‘s book Indigenomics: Taking a seat at the economic table.#Indigenomics1,Scott Harrison@ColdWarHistory26 Jan 2022,“Indigenomics is a pathway to pull Canada into a better future.” As cited in@Hesquiaht‘s book Indigenomics: Taking a seat at the economic table.#Indigenomics,26 Jan 2022,1,,
Grace Jaramillo,@GraceJ_IPE,,Grace Jaramillo@GraceJ_IPE25 Jan 2022Looking forward to have@Hesquiahtas Guest Lecturer today at the@ubcSPPGACarol Anne Hilton is the author of#Indigenomicsa revolutionary path to economic reconciliation in#Canadaand beyond!110,Grace Jaramillo@GraceJ_IPE25 Jan 2022,Looking forward to have@Hesquiahtas Guest Lecturer today at the@ubcSPPGACarol Anne Hilton is the author of#Indigenomicsa revolutionary path to economic reconciliation in#Canadaand beyond!,25 Jan 2022,110,,
anindigenousvoice,@man_of_khoe,,"anindigenousvoice@man_of_khoe25 Jan 2022We are keen and ready to introduce South Africa to#indigenomics.@CyrilRamaphosa, you have the opportunity to make history.@TreasuryRSAis already aware of the work we're doing. Time for the@GovernmentZAto play ball.#sona2022@IFNASA_1@merleobrien1",anindigenousvoice@man_of_khoe25 Jan 2022,"We are keen and ready to introduce South Africa to#indigenomics.@CyrilRamaphosa, you have the opportunity to make history.@TreasuryRSAis already aware of the work we're doing. Time for the@GovernmentZAto play ball.#sona2022@IFNASA_1@merleobrien",25 Jan 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht24 Jan 2022This week only!carolannehilton.com#indigenomics#indigenouseconomy#impact#canecon#indigenous#100billion36","Carol Anne Hilton, MBA@Hesquiaht24 Jan 2022",This week only!carolannehilton.com#indigenomics#indigenouseconomy#impact#canecon#indigenous#100billion,24 Jan 2022,36,,
Nicole McLaren,@naswain,,Nicole McLaren@naswain23 Jan 2022Pls RT!! ✨ JOB ALERT: We are growing our executive team & are looking for someone amazing who wants to have a REAL impact & help grow#IndigenousBusinessin Canada/USA retail markets. 📦ravenreads.org/pages/careers#hiring#leadership#Kamloops#BC#indigenomics#booktwt🌺37,Nicole McLaren@naswain23 Jan 2022,Pls RT!! ✨ JOB ALERT: We are growing our executive team & are looking for someone amazing who wants to have a REAL impact & help grow#IndigenousBusinessin Canada/USA retail markets. 📦ravenreads.org/pages/careers#hiring#leadership#Kamloops#BC#indigenomics#booktwt🌺,23 Jan 2022,37,,
Raven Reads,@raven_reads,,Raven Reads@raven_reads23 Jan 2022Pls RT!! ✨ JOB ALERT: We are growing our executive team & are looking for someone amazing who wants to have a REAL impact & help grow#IndigenousBusinessin Canada/USA retail markets. 📦ravenreads.org/pages/careers#hiring#leadership#Kamloops#BC#indigenomics#booktwt🌺114,Raven Reads@raven_reads23 Jan 2022,Pls RT!! ✨ JOB ALERT: We are growing our executive team & are looking for someone amazing who wants to have a REAL impact & help grow#IndigenousBusinessin Canada/USA retail markets. 📦ravenreads.org/pages/careers#hiring#leadership#Kamloops#BC#indigenomics#booktwt🌺,23 Jan 2022,114,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht23 Jan 2022#indigenomicsin action#indigenouseconomy#100billion<decolonizing future value of money>#Canada#Ontario#canecon#money#impact#value#treatyThis tweet is unavailable13","Carol Anne Hilton, MBA@Hesquiaht23 Jan 2022",#indigenomicsin action#indigenouseconomy#100billion<decolonizing future value of money>#Canada#Ontario#canecon#money#impact#value#treaty,23 Jan 2022,13,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson23 Jan 2022Entrepreneurship will lead Indigenous communities out of the 'social trap' -@NACCAinfoCEO Shannin Metatawabin believes the path to First Nations well-being and prosperity is federal investment in Indigenous economic developmenttimminstoday.com/local-news/…#Indigenomics,Don Richardson@Don_Richardson23 Jan 2022,Entrepreneurship will lead Indigenous communities out of the 'social trap' -@NACCAinfoCEO Shannin Metatawabin believes the path to First Nations well-being and prosperity is federal investment in Indigenous economic developmenttimminstoday.com/local-news/…#Indigenomics,23 Jan 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht23 Jan 2022#indigenomicsin actionBill Gallagher@ResourceRulers22 Jan 2022.@Wendy_Stueck#Delgamuukwimportant obituary on road to resources represents rise of#native#empowermentjournalist sets proper context 

RR adds before 1997 ruling Canadians didn't take native land rights seriously - this was the legal turning point:theglobeandmail.com/canada/a…1","Carol Anne Hilton, MBA@Hesquiaht23 Jan 2022",#indigenomicsin action,23 Jan 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht21 Jan 2022#indigenomics#indigenouseconomy#canecon#ontecon> time to get it right!#ringoffireThis tweet is unavailable22","Carol Anne Hilton, MBA@Hesquiaht21 Jan 2022",#indigenomics#indigenouseconomy#canecon#ontecon> time to get it right!#ringoffire,21 Jan 2022,22,,
