name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson10 Aug 2022Milestone:#NorZinc, Naha Dehe Dene Band (NDDB), Liidlii Kue First Nation (LKFN) sign Environmental Agreement for the development and operation of the Prairie Creek Project and the All-Season Access Road (""ASR"") - combines with existing IBAs#Indigenomicsnewswire.ca/news-releases/no…11",Don Richardson@Don_Richardson10 Aug 2022,"Milestone:#NorZinc, Naha Dehe Dene Band (NDDB), Liidlii Kue First Nation (LKFN) sign Environmental Agreement for the development and operation of the Prairie Creek Project and the All-Season Access Road (""ASR"") - combines with existing IBAs#Indigenomicsnewswire.ca/news-releases/no…",10 Aug 2022,11,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson8 Aug 2022In#Winnipeg, a donated building becomes a force for reconciliation: The project’s working title in Anishinaabemowin is Wehwehneh Bahgahkinahgohn, or “It is visible.” / via Christian Science Monitor@csmonitor#Indigenomicscsmonitor.com/World/Americas…1",Don Richardson@Don_Richardson8 Aug 2022,"In#Winnipeg, a donated building becomes a force for reconciliation: The project’s working title in Anishinaabemowin is Wehwehneh Bahgahkinahgohn, or “It is visible.” / via Christian Science Monitor@csmonitor#Indigenomicscsmonitor.com/World/Americas…",8 Aug 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht6 Aug 2022#indigenomicsin action#indigenouseconomy#canecon#Ontecon#cdnpoliDon Richardson@Don_Richardson6 Aug 2022Matawa AGM Sees Chiefs Adopt Political Plan on Mining in Ontarioshar.es/af2nCCvia@netnewsledger24","Carol Anne Hilton, MBA@Hesquiaht6 Aug 2022",#indigenomicsin action#indigenouseconomy#canecon#Ontecon#cdnpoli,6 Aug 2022,24,,
DGW Law Corporation,@DGW_Law,,"DGW Law Corporation@DGW_Law5 Aug 2022It happens to be#InternationalBeerDay, so if you are indulging, try@redtapebrewery!
Read more about what they have to offer here:redtapebrewery.com/#Indigenous#IndigenousBusiness#beer#brewery#local#smallbusiness#SupportIndigenous#Indigenomics#reconciliACTION",DGW Law Corporation@DGW_Law5 Aug 2022,"It happens to be#InternationalBeerDay, so if you are indulging, try@redtapebrewery!
Read more about what they have to offer here:redtapebrewery.com/#Indigenous#IndigenousBusiness#beer#brewery#local#smallbusiness#SupportIndigenous#Indigenomics#reconciliACTION",5 Aug 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht4 Aug 2022B.C. company launches training course for Indigenous entrepreneurs#indigenomicsin action#indigenouseconomy#100billionvancouverisawesome.com/bc-ne…via@viawesome38","Carol Anne Hilton, MBA@Hesquiaht4 Aug 2022",B.C. company launches training course for Indigenous entrepreneurs#indigenomicsin action#indigenouseconomy#100billionvancouverisawesome.com/bc-ne…via@viawesome,4 Aug 2022,38,,
DGW Law Corporation,@DGW_Law,,"DGW Law Corporation@DGW_Law4 Aug 2022Watch for@DGW_Law's John Gailus guest judge appearance!

Learn more atbearslairtv.com#Indigenous#IndigenousEntrepreneur#indigenomics#reconciliation#reconciliACTION",DGW Law Corporation@DGW_Law4 Aug 2022,"Watch for@DGW_Law's John Gailus guest judge appearance!

Learn more atbearslairtv.com#Indigenous#IndigenousEntrepreneur#indigenomics#reconciliation#reconciliACTION",4 Aug 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht4 Aug 2022Indigenous developers to build 25,000 new homes in Metro Vancouver | The Province#indigenomicsvancouversun.com/business/re…922","Carol Anne Hilton, MBA@Hesquiaht4 Aug 2022","Indigenous developers to build 25,000 new homes in Metro Vancouver | The Province#indigenomicsvancouversun.com/business/re…",4 Aug 2022,922,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson3 Aug 2022Permit expands testing area for Fort Nelson First Nation geothermal project - offers potential to provide added economic benefits from the generation of clean, renewable geothermal power and heatnews.gov.bc.ca/releases/2022…#Indigenomics",Don Richardson@Don_Richardson3 Aug 2022,"Permit expands testing area for Fort Nelson First Nation geothermal project - offers potential to provide added economic benefits from the generation of clean, renewable geothermal power and heatnews.gov.bc.ca/releases/2022…#Indigenomics",3 Aug 2022,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson24 Jul 2022The power of procurement - A discussion on Indigenous inclusion in all aspects of supply chain across various industries.woodbusiness.ca/?p=95406#Indigenomics2,Don Richardson@Don_Richardson24 Jul 2022,The power of procurement - A discussion on Indigenous inclusion in all aspects of supply chain across various industries.woodbusiness.ca/?p=95406#Indigenomics,24 Jul 2022,2,,
