name,username,is_verified,body,media-header,text,date,stats,timeline_item,url
,,,,,,,,,
Don Richardson,@Don_Richardson,,Don Richardson@Don_Richardson5 Apr 2022New legislation to grow Indigenous involvement in Saskatchewan economy - the Sask. Indigenous Investment Finance Corporation to offer loan guarantees for#Indigenousequityownership of natural resource and value-added agriculture projectsglobalnews.ca/news/8735237/n…#Indigenomics12,Don Richardson@Don_Richardson5 Apr 2022,New legislation to grow Indigenous involvement in Saskatchewan economy - the Sask. Indigenous Investment Finance Corporation to offer loan guarantees for#Indigenousequityownership of natural resource and value-added agriculture projectsglobalnews.ca/news/8735237/n…#Indigenomics,5 Apr 2022,12,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht5 Apr 2022#indigenomicsin action#indigenouseconomy#100billionGuy Lonechild@MrGLonechild5 Apr 2022New legislation to grow Indigenous involvement in Saskatchewan economyglobalnews.ca/news/8735237/n…3","Carol Anne Hilton, MBA@Hesquiaht5 Apr 2022",#indigenomicsin action#indigenouseconomy#100billion,5 Apr 2022,3,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht4 Apr 2022Only 4 more weeks to get your registration complete!indigenomicsinstitute.com#indigenomics412","Carol Anne Hilton, MBA@Hesquiaht4 Apr 2022",Only 4 more weeks to get your registration complete!indigenomicsinstitute.com#indigenomics,4 Apr 2022,412,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson4 Apr 202215-Megawatt Flare Gas to Power Facility announced by SaskPower, Flying Dust First Nation, and Genalta Power, online 2023businesswire.com/news/home/2…#Indigenomics23",Don Richardson@Don_Richardson4 Apr 2022,"15-Megawatt Flare Gas to Power Facility announced by SaskPower, Flying Dust First Nation, and Genalta Power, online 2023businesswire.com/news/home/2…#Indigenomics",4 Apr 2022,23,,
Don Richardson,@Don_Richardson,,"Don Richardson@Don_Richardson3 Apr 2022New Indigenous owned travel agency launches in Manitoba: 
Indigeno Travel is North America’s first national full-service Indigenous-owned travel and tourism agencyaptnnews.ca/national-news/ne…#Indigenomics",Don Richardson@Don_Richardson3 Apr 2022,"New Indigenous owned travel agency launches in Manitoba: 
Indigeno Travel is North America’s first national full-service Indigenous-owned travel and tourism agencyaptnnews.ca/national-news/ne…#Indigenomics",3 Apr 2022,,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022Come and participate in the rise of Indigenous economic empowerment.#lead#participate#indigenomics#indigenouseconomy#100billion#cdnbiz#canecon#Canada#economicreconciliationindigenomicsinstitute.com- Chief and Council/  FN Economic Development Corporation rate available118","Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022",Come and participate in the rise of Indigenous economic empowerment.#lead#participate#indigenomics#indigenouseconomy#100billion#cdnbiz#canecon#Canada#economicreconciliationindigenomicsinstitute.com- Chief and Council/  FN Economic Development Corporation rate available,1 Apr 2022,118,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022#indigenomicsin action#indigenouseconomy#100billionCCBC | Conseil d'affaires Canada-Chine | 加中贸易理事会@Canada_China1 Apr 2022Replying to@Canada_ChinaThe potential for mutually beneficial business & investment is immense. Successfully engaging with the China market will take work, however the growing + increasingly influential Indigenous business community
is well-positioned to take on these challenges.ccbc.com/preparing-indigenou…1","Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022",#indigenomicsin action#indigenouseconomy#100billion,1 Apr 2022,1,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022#indigenomicsin action#indigenouseconomy#100billionChief Billy Morin@billymorinECN1 Apr 2022I’m thankful@GPRChamberrecognizes Enoch & Paul First Nations as equals in the success of the region west of Edmonton; alongside Spruce Grove, Parkland County & Stony Plain. Great event last night to talk on our collective future.11","Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022",#indigenomicsin action#indigenouseconomy#100billion,1 Apr 2022,11,,
"Carol Anne Hilton, MBA",@Hesquiaht,,"Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022'Time value of money' is a key function of money, economy and wealth building- it exists for everyone except Indigenous peoples#Canada#indigenomics#cdnbiz#canecon#indigenous#treaty#ontpoli#colonialshenigans#money#value#cdnpoli#timesudbury.com/local-news/treat…111","Carol Anne Hilton, MBA@Hesquiaht1 Apr 2022","'Time value of money' is a key function of money, economy and wealth building- it exists for everyone except Indigenous peoples#Canada#indigenomics#cdnbiz#canecon#indigenous#treaty#ontpoli#colonialshenigans#money#value#cdnpoli#timesudbury.com/local-news/treat…",1 Apr 2022,111,,
